,percent_time_idle,hourly_wage
1013,16.4751003919,51.5028386689
1021,27.1913470644,43.5346786834
1025,21.6096305115,44.3323280204
1026,67.6037719221,25.0973704124
1029,32.4931823816,40.9458978882
1031,10.9057449996,61.8836630376
1033,7.81647217373,65.950001109
1035,22.6239941478,47.3339474813
1036,57.0588235294,23.0697931034
1037,34.2105263158,32.7964428312
1040,49.5219885277,28.3865550208
1043,36.7875647668,43.9122744327
1044,10.0743859649,55.634108167
1055,17.2167631593,51.1081539169
1059,5.7421554093,57.4055964435
1061,33.3908060549,43.9936908242
1063,5.49450549451,54.8649185297
1064,46.6101694915,43.3718293396
1067,6.76441503119,57.5787390422
1074,98.0,49.2
1076,6.02150537634,54.5751724138
1077,29.5668103789,46.9432366775
1078,20.2815582375,51.3834803819
1081,5.88926442217,61.3741323539
1084,23.5446313066,50.2498782174
1085,14.7368421053,61.967738657
1086,12.358276644,55.8783391977
1087,21.8735992828,40.7763762845
1091,12.0338825775,59.9608241268
1092,21.1788194885,48.5629018693
1097,9.92104677886,51.3757237698
1101,46.9589041096,35.1774722721
1104,7.01877276548,55.437889489
1105,51.3333333333,29.8809931034
1110,33.3333333333,52.1220413793
1112,37.1343283582,37.1852244982
1113,22.4251312864,47.1384090327
1115,9.97613365155,57.2479677393
1117,23.042984075,44.979923795
1118,7.43865765127,53.4196378739
1122,5.52659556226,62.7574948765
1123,34.5033112583,38.9916583695
1125,12.7518176498,55.392209784
1126,60.2816901408,24.111403594
1127,47.3404255319,77.0129713866
1129,6.84667309547,71.3449885979
1131,8.14446437306,56.8116408126
1132,15.862950566,48.4712235745
1135,7.3950715051,56.659103066
1138,63.748502994,28.6346809829
1139,12.5910147712,60.2259849902
1141,30.459647084,44.0534496995
1142,7.78881753303,54.4424801902
1143,10.2443003068,52.3445688349
1144,8.40749443792,55.2696961521
1146,14.7861262487,53.0648676421
1148,6.30311614731,52.5400605646
1149,20.1174210253,48.7906606838
1150,67.8897145752,18.3317822595
1151,46.2162162162,38.6380093197
1152,24.7537892016,49.7417490179
1154,39.3391030685,37.6049963374
1161,7.25691474194,52.3775699832
1164,27.2848504357,45.658058332
1169,15.2266626381,50.9837914645
1170,8.74327017882,57.7876743406
1171,8.61548515591,54.1617687142
1172,11.7524580682,46.9914840151
1178,75.3090635886,15.6727423461
1180,35.3112486349,40.1024355096
1181,67.8089153478,21.8022761525
1182,16.2500318096,48.6530573324
1186,7.02901101111,47.7402189046
1187,48.4624820235,29.8126624447
1189,6.51377665201,59.7362618712
